area,current_min,current_max,pred_3y_min,pred_3y_max,water,score,econ,infra,watch
Devanahalli–Airport/Bagalur–Aerospace Park,4500,8000,6000,10500,Medium-High risk,84,"Airport ecosystem, KIADB Aerospace Park, logistics, warehousing, electronics/manufacturing spillover.","Airport expansion, STRR/North connectivity, airport metro influence, Cauvery Stage VI coverage proposed for Devanahalli/Bashettihalli/Vijayapura.","Do not buy purely on airport hype; check conversion, RERA/layout approval, water source and tanker dependency."
Hoskote–Budigere–Malur belt,3000,8000,4300,10000,Medium-High risk,82,"Logistics, warehousing, east Bengaluru spillover, industrial development towards Malur/Narasapura.","Bengaluru–Chennai Expressway influence, Old Madras Road, STRR adjacency, Cauvery Stage VI proposed for Hoskote.","Good value pockets exist, but avoid isolated layouts far from job/infrastructure nodes."
Sarjapur–Attibele–Anekal edge,6500,11000,8000,14000,High risk,76,IT workforce demand from ORR/Whitefield/Electronic City spillover; residential absorption strong.,Sarjapur Road widening/metro expectations; STRR and Hosur-road industrial catchment nearby.,Pricing is already warm; water and road congestion risks are material.
Kanakapura Road–Harohalli,3500,6500,4800,8500,Medium risk,78,Residential/lifestyle demand plus Harohalli industrial belt support.,"Namma Metro Green Line influence, NICE Road access, industrial belt and improved south connectivity.","Check ecological buffers, lake/forest adjacency, and actual water plan."
Doddaballapur–Rajanukunte–Bashettihalli,3500,7500,4800,9500,Medium-High risk,80,"Manufacturing, aerospace/airport spillover, industrial plots, north-Bengaluru residential demand.","Doddaballapur Main Road, airport-side connectivity, STRR influence, Cauvery Stage VI proposed for Bashettihalli.",Better for patient capital; liquidity weaker than Sarjapur/Devanahalli.
Nelamangala–Dabaspet–Tumkur Road,3000,6500,4200,8500,Medium-High risk,77,"Manufacturing, logistics, warehousing, industrial belt, highway-led demand.","NH-48, STRR, Tumkur Road widening/industrial nodes; Cauvery Stage VI proposed for Nelamangala.",Industrial borewell stress is a real concern; verify piped water and drainage.
Bidadi–Ramanagara township belt,2000,6500,3200,8500,Medium risk,79,"Toyota/Bidadi industrial ecosystem, proposed integrated township, Mysuru Road/Ramanagara expansion.","Bengaluru–Mysuru Expressway, proposed GBA/Bidadi township, suburban expansion plans.",Policy risk is high; township land-acquisition politics could change timelines.
Jigani–Bommasandra–Harohalli link,3500,7000,4500,8500,High risk,70,"Industrial belt, Electronic City spillover, warehousing/MSME activity.","Bommasandra metro endpoint influence, Hosur Road, Jigani-Harohalli industrial corridor.",Water dependency and industrial-groundwater stress are major filters.
Electronic City–Chandapura–Hosur Road belt,5500,9500,6800,11500,High risk,72,"Established IT base, Infosys/Wipro ecosystem, rental/end-user demand.","Yellow Line metro influence, Hosur Road, industrial and residential densification.",Less early-stage upside; better for safer liquidity than multibagger land gains.
Yelahanka–Doddaballapur Main Road,6000,9500,7500,12000,Medium-High risk,75,"Airport-side residential demand, premium plotted/villa communities, education/healthcare support.","Airport road access, Yelahanka rail/road network, north-Bengaluru premiumisation.",Good projects are expensive; upside depends on entry price.
Hennur–Bagalur–Thanisandra belt,7000,11500,8500,14000,Medium-High risk,73,"Manyata/airport corridor residential demand, IT/office spillover, premium apartment/villa demand.","Airport access, Thanisandra/Hennur road upgrades, metro/infrastructure expectations.",Much of the upside is already priced in; buy only if end-use demand is visible.
Whitefield–Kadugodi–Soukya Road edge,7500,12000,9000,14500,High risk,69,"Mature IT hub, strong rental/end-user demand, metro-led connectivity.","Purple Line metro, Whitefield employment base, east corridor densification.","Mature market; focus on liquidity and legal quality, not cheap-entry upside."
Magadi Road–Tavarekere–Kadabagere,2500,7000,3500,9000,Medium risk,74,"West Bengaluru affordability, warehouse/residential spillover, NICE Road/Mysuru Road influence.","Magadi Road expansion pockets, NICE linkage, potential westward urban expansion.",Very wide pricing; avoid disconnected low-cost plots with poor resale liquidity.
IVC Road–Nandi Hills–Sadahalli,5000,9500,6500,12000,Medium-High risk,76,"Airport-side premium plotted/villa demand, weekend-home/lifestyle demand, developer activity.","Airport access, Nandi/Devanahalli premiumisation, STRR/North connectivity influence.",Premium lifestyle pricing can detach from rental fundamentals.
Kengeri–Mysuru Road–Bidadi approach,4500,9000,5800,11000,Medium risk,73,"Metro-connected residential demand, Mysuru Road commercial growth, Bidadi township spillover.","Purple Line metro to Kengeri/Challaghatta, Bengaluru–Mysuru Expressway, NICE Road.",Prefer metro-proximate or township-adjacent parcels; avoid interior village speculation.
